Water Pump ID,Water Source Type,Water Quality,Distance to Nearest Town,Population Served,Installation Year,Funder,Payment Type,Water Pump Age,Pump Type,GPS Coordinates,Functioning Status
WP113,Well,Contaminated,45.0,24000.0,,Red Cross,Free,23.0,Motorized Pump,"(-21.538843709493058, 19.350380306123387)",Not Functioning
WP114,Lake,Contaminated,43.0,23000.0,2011.0,Red Cross,Free,13.0,Motorized Pump,"(-23.186288975233325, 28.116021164794507)",Not Functioning
WP115,,Contaminated,42.0,24000.0,1997.0,Red Cross,Pay per use,,Solar Pump,"(-18.62277785677212, 28.40332267610102)",Not Functioning
WP116,Well,,45.0,27000.0,1996.0,USAID,Pay per use,28.0,Motorized Pump,,Functioning
WP117,,Clean,34.0,24000.0,1999.0,Red Cross,Free,25.0,,"(-18.306827116246666, 28.50781035542608)",Not Functioning
WP118,Lake,Contaminated,27.0,24000.0,2008.0,,Free,16.0,Motorized Pump,"(-22.074537137325887, 26.289937680773892)",Not Functioning
WP119,Lake,Contaminated,45.0,19000.0,1993.0,,Free,31.0,,"(-22.756413749039133, 22.7513670371518)",Not Functioning
WP120,Well,Contaminated,44.0,,2019.0,Red Cross,,,Solar Pump,"(-21.506990800953854, 24.714577049539876)",Not Functioning
WP121,,Contaminated,50.0,26000.0,1997.0,Oxfam,,27.0,Solar Pump,"(-18.346757446157834, 26.598168122660816)",Not Functioning
WP122,Well,Contaminated,,19000.0,,Oxfam,Free,26.0,,"(-18.63810515635234, 27.059690210238138)",
WP123,Well,Contaminated,51.0,26000.0,1998.0,Red Cross,Free,26.0,Solar Pump,"(-19.912084511342393, 28.62722765872076)",Not Functioning
,Well,Clean,33.0,29000.0,1994.0,USAID,Pay per use,30.0,Motorized Pump,"(-20.918099007943184, 26.10489010525377)",Not Functioning
WP125,Well,Clean,34.0,21000.0,2007.0,Oxfam,Free,,Motorized Pump,"(-19.299483615311072, 24.648804382102128)",Functioning
WP126,Lake,Contaminated,49.0,22000.0,1991.0,Oxfam,,33.0,Motorized Pump,"(-18.58578672186893, 25.542908983524008)",Not Functioning
WP127,Well,Contaminated,43.0,25000.0,2004.0,Red Cross,Free,20.0,Motorized Pump,"(-18.533708579555558, 27.599548429970277)",Functioning
WP128,,Clean,,24000.0,2017.0,Red Cross,Free,,Solar Pump,,Not Functioning
WP129,Well,Contaminated,32.0,24000.0,2018.0,USAID,Free,,,"(-22.124018422373226, 19.80324885272596)",Not Functioning
WP130,Well,Contaminated,44.0,20000.0,1993.0,Red Cross,Free,31.0,Solar Pump,"(-23.93361309940886, 19.211061150590172)",Not Functioning
WP131,Well,Clean,47.0,25000.0,2016.0,Red Cross,Free,8.0,Motorized Pump,"(-22.90266216143165, 21.90860908816891)",Not Functioning
WP132,Well,Contaminated,37.0,20000.0,1993.0,Oxfam,Free,31.0,Motorized Pump,"(-21.801168862265655, 20.68144552158949)",Functioning
WP133,,Clean,,27000.0,2013.0,,Pay per use,11.0,Solar Pump,"(-21.494892114603704, 21.736352700077802)",Not Functioning
WP134,,,38.0,25000.0,2019.0,,Free,5.0,,,Not Functioning
WP135,Lake,Contaminated,,21000.0,2006.0,Red Cross,Free,18.0,Motorized Pump,"(-21.298689915405493, 22.88230320784794)",Not Functioning
WP136,Well,Contaminated,48.0,23000.0,1990.0,Red Cross,Pay per use,34.0,Motorized Pump,"(-18.991993113671306, 26.904779270948886)",Not Functioning
,Well,Contaminated,45.0,26000.0,,USAID,Pay per use,18.0,Hand Pump,"(-23.66390105802381, 28.288274757106585)",Not Functioning
WP138,River,Clean,32.0,28000.0,1994.0,USAID,Free,30.0,,"(-19.948449260071687, 26.188035467438752)",
WP139,Well,Contaminated,29.0,19000.0,2012.0,Oxfam,Free,12.0,Motorized Pump,"(-21.4774755986163, 23.74989106422707)",Functioning
WP140,,Contaminated,32.0,22000.0,2012.0,Red Cross,Free,,Motorized Pump,"(-19.974498619512897, 26.47914981997672)",Not Functioning
WP141,Well,Contaminated,,25000.0,1999.0,Red Cross,Free,25.0,Solar Pump,"(-18.294890411685994, 23.289773272064394)",Not Functioning
WP142,Well,Clean,40.0,,2007.0,USAID,Free,17.0,Motorized Pump,"(-23.251308290415892, 28.57751991382346)",
WP143,Well,Contaminated,38.0,24000.0,1994.0,Oxfam,Pay per use,30.0,Solar Pump,,Not Functioning
WP144,Well,,44.0,21000.0,1996.0,Red Cross,Free,28.0,Motorized Pump,"(-23.426618961999868, 27.081616479460433)",
WP145,Well,Contaminated,,25000.0,2011.0,Red Cross,Pay per use,13.0,,"(-17.94248586775003, 26.370171968577083)",Not Functioning
WP146,Well,Contaminated,,25000.0,1995.0,Red Cross,Pay per use,29.0,Motorized Pump,,Not Functioning
WP147,Well,Contaminated,33.0,26000.0,2003.0,Red Cross,Free,21.0,,"(-18.65701893307654, 24.810357393556064)",Not Functioning
WP148,,,55.0,21000.0,2014.0,USAID,Free,,Motorized Pump,"(-18.89272409391526, 25.77543376977548)",Functioning
,Well,Clean,,19000.0,2015.0,World Bank,Free,9.0,,"(-18.697175171167988, 26.846919945291855)",Not Functioning
WP150,Lake,Clean,42.0,23000.0,,USAID,Free,13.0,Motorized Pump,,Not Functioning
,Well,Clean,35.0,25000.0,2001.0,USAID,,23.0,Motorized Pump,"(-19.080899039919203, 25.06203417730753)",Not Functioning
WP152,,,51.0,28000.0,1997.0,Red Cross,,,Motorized Pump,"(-22.16964442900179, 21.708544584671905)",Functioning
WP153,Well,,43.0,25000.0,2016.0,,Free,8.0,,"(-23.77549264987213, 21.095742371728424)",Functioning
WP154,Well,Contaminated,41.0,22000.0,2016.0,USAID,Pay per use,8.0,Motorized Pump,"(-19.309051032576097, 25.301732148294946)",
WP155,,Contaminated,43.0,19000.0,1991.0,UNICEF,Free,33.0,Motorized Pump,"(-22.380040376895515, 23.249102579284862)",Not Functioning
,Well,Contaminated,38.0,23000.0,1998.0,,Free,26.0,Solar Pump,"(-23.795208002141102, 22.331882608758136)",Not Functioning
WP157,,Contaminated,45.0,27000.0,1997.0,Red Cross,Free,27.0,,"(-22.338909211987595, 22.314386257381525)",Not Functioning
WP158,Well,Contaminated,,23000.0,2010.0,UNICEF,Free,,Motorized Pump,"(-19.70836317817763, 28.86003755843864)",Not Functioning
WP159,Well,Contaminated,48.0,26000.0,1991.0,USAID,Pay per use,33.0,Solar Pump,"(-23.65535866005238, 25.851065672061345)",Not Functioning
WP160,Well,Contaminated,39.0,21000.0,2005.0,Oxfam,,,,"(-22.63618306967242, 20.706690588648115)",Not Functioning
WP161,Lake,Contaminated,47.0,25000.0,2019.0,USAID,Free,5.0,Solar Pump,"(-22.58356727706044, 21.362968135076883)",Not Functioning
WP162,Borehole,Contaminated,41.0,22000.0,,Red Cross,Free,,Solar Pump,"(-22.231683688730058, 21.436830932026062)",Not Functioning
WP163,Well,Contaminated,36.0,,1997.0,USAID,Pay per use,27.0,Solar Pump,,Not Functioning
WP164,Well,,30.0,,2016.0,UNICEF,Pay per use,8.0,Motorized Pump,"(-20.86998259967466, 24.08807243047466)",Functioning
,Well,Contaminated,43.0,,2007.0,Red Cross,Free,,Solar Pump,,Not Functioning
,Well,Clean,32.0,19000.0,2009.0,USAID,Free,,Hand Pump,"(-17.522502066015775, 20.706855611602116)",Not Functioning
WP167,,Clean,33.0,26000.0,2011.0,Red Cross,Pay per use,,Motorized Pump,"(-20.65929026025313, 25.362915219648155)",Not Functioning
WP168,,,48.0,,1991.0,USAID,,33.0,Solar Pump,"(-18.102087470166516, 23.467388697547058)",Not Functioning
WP169,Well,Clean,40.0,,,UNICEF,Free,32.0,Motorized Pump,"(-21.157259536656703, 21.494264233225053)",Not Functioning
WP170,Well,Contaminated,39.0,22000.0,2004.0,Red Cross,Free,,Motorized Pump,,Not Functioning
WP171,Lake,Contaminated,39.0,22000.0,,USAID,Free,,Motorized Pump,"(-18.65021277526905, 26.061054956485698)",Not Functioning
,Borehole,Contaminated,45.0,,2002.0,,Pay per use,22.0,,"(-23.585268476840184, 23.469305741965538)",Not Functioning
WP173,Well,Contaminated,38.0,,2020.0,USAID,Pay per use,4.0,Motorized Pump,"(-18.915124974932727, 27.949890517056247)",Functioning
WP174,Well,Contaminated,40.0,29000.0,1994.0,Oxfam,Free,30.0,Motorized Pump,"(-17.516127769214414, 24.77958084121377)",Functioning
WP175,Borehole,Clean,50.0,25000.0,,,Free,,Motorized Pump,"(-23.38337573162959, 28.868949003822486)",Not Functioning
WP176,Well,Contaminated,,27000.0,2013.0,,Free,11.0,Solar Pump,"(-21.022755062328912, 22.19398132927511)",
WP177,Well,Contaminated,,20000.0,2014.0,Red Cross,Pay per use,10.0,Motorized Pump,,Not Functioning
WP178,Lake,Clean,38.0,26000.0,2003.0,UNICEF,Free,,Motorized Pump,"(-19.2323821580008, 27.745475804126045)",Not Functioning
,Lake,Contaminated,39.0,24000.0,1996.0,Red Cross,Pay per use,,Motorized Pump,,Not Functioning
,Well,,42.0,25000.0,2017.0,Oxfam,Free,7.0,Motorized Pump,,Not Functioning
WP181,Lake,Clean,41.0,23000.0,1991.0,Oxfam,Free,33.0,Solar Pump,"(-21.06920357719023, 21.209257034644196)",Not Functioning
WP182,Well,Clean,35.0,19000.0,2019.0,USAID,Free,,,"(-22.8440887401831, 22.848221060963255)",Not Functioning
WP183,River,Contaminated,46.0,32000.0,2007.0,Red Cross,Free,17.0,Motorized Pump,"(-21.001159046318435, 21.12636157546166)",Not Functioning
WP184,Well,Contaminated,43.0,21000.0,,Oxfam,Free,,Solar Pump,,Not Functioning
WP185,,Contaminated,43.0,22000.0,1999.0,UNICEF,Free,25.0,Motorized Pump,"(-17.614317769258342, 26.33252475523264)",Functioning
WP186,Well,Contaminated,,,2003.0,,Free,21.0,Motorized Pump,"(-20.67431640807086, 27.170989588692713)",Not Functioning
WP187,,Clean,42.0,23000.0,2010.0,Oxfam,Free,14.0,Motorized Pump,"(-21.017494915471566, 21.563162566709313)",Not Functioning
WP188,Borehole,Clean,42.0,19000.0,2013.0,USAID,Pay per use,11.0,Motorized Pump,"(-23.885282102994417, 22.07729740314056)",Not Functioning
WP189,Well,Contaminated,32.0,23000.0,1990.0,,Free,34.0,Motorized Pump,"(-20.746756524365722, 19.572863209339147)",Not Functioning
,,Clean,,,2005.0,Red Cross,Pay per use,19.0,Motorized Pump,"(-21.641105358937004, 21.59298383410347)",Not Functioning
WP191,Well,,42.0,22000.0,2019.0,USAID,Free,5.0,Solar Pump,"(-19.64669029966108, 26.253186896933414)",Not Functioning
WP192,Lake,Contaminated,39.0,27000.0,1995.0,USAID,Pay per use,29.0,Motorized Pump,"(-22.39284049222004, 26.52546184551618)",Not Functioning
WP193,Well,Contaminated,44.0,18000.0,2019.0,USAID,Free,,,,Functioning
WP194,Well,Contaminated,,26000.0,2012.0,Red Cross,Pay per use,12.0,,"(-21.869277470102965, 20.574921376612842)",Not Functioning
WP195,Well,Contaminated,44.0,20000.0,2017.0,Oxfam,Free,7.0,Solar Pump,"(-22.553743344135107, 21.748080327644452)",Not Functioning
WP196,Well,Contaminated,51.0,18000.0,1995.0,UNICEF,Free,29.0,Motorized Pump,"(-22.848449868158983, 21.975675789536307)",Not Functioning
WP197,,Clean,32.0,20000.0,2014.0,USAID,Pay per use,10.0,,"(-23.202303545761822, 26.78256233226441)",Not Functioning
,River,Contaminated,38.0,30000.0,2008.0,Red Cross,Free,16.0,Solar Pump,"(-18.877301479851642, 26.523869272121924)",Not Functioning
WP199,Well,Clean,,27000.0,,USAID,Free,21.0,Motorized Pump,"(-22.316757945739095, 22.1527479866281)",Not Functioning
WP200,Well,Contaminated,43.0,25000.0,1992.0,Oxfam,,32.0,Motorized Pump,"(-17.894519533393037, 27.441633137238824)",Functioning
WP201,,Contaminated,32.0,24000.0,1998.0,UNICEF,Pay per use,26.0,Solar Pump,"(-18.239447756407444, 27.502164359651836)",Not Functioning
WP202,Well,Contaminated,42.0,,2014.0,Red Cross,Free,,Motorized Pump,"(-19.398585250340467, 27.60872005750739)",Not Functioning
WP203,Well,Contaminated,28.0,22000.0,2008.0,USAID,Free,16.0,Solar Pump,"(-21.95704177129873, 24.608364715789985)",
WP204,Well,Clean,41.0,27000.0,2020.0,USAID,Pay per use,4.0,,"(-19.7550993522042, 24.45084149974875)",Not Functioning
WP205,Lake,Contaminated,38.0,28000.0,,Red Cross,,16.0,,"(-23.795105816388997, 21.831094554300133)",Not Functioning
WP206,Well,Contaminated,,23000.0,1991.0,Oxfam,Free,33.0,,"(-19.16762161280071, 25.230244969602275)",
WP207,,,,25000.0,2010.0,Red Cross,Free,14.0,,"(-22.59883481844796, 21.074389682641144)",Not Functioning
